Gene,L1 larvae,L2 larvae,"L3 larvae, 12 hr post-molt","L3 larvae, dark blue gut PS(1-2)","L3 larvae, light blue gut PS(3-6)","L3 larvae, clear gut PS (7-9)"
l(2)gl,14.8766,26.0558,20.0325,20.1379,29.081,29.3291
dbr,3.30192,5.62504,3.76803,5.04476,9.30739,12.6897
galectin,15.3657,15.2183,17.8034,27.893,35.5274,41.2988
CG11376,4.33781,4.36501,4.01301,4.53604,9.27899,16.3195
CG11377,17.656,37.0781,20.3191,13.0327,16.6296,20.3685
Nhe1,9.02297,8.87029,6.24278,13.2186,15.6532,17.5512
M(2)21AB,328.4,167.319,249.544,94.5064,77.2995,62.0147
CG4822,2.58886,3.78985,6.02737,12.8597,46.2136,89.0577
CG3164,89.9355,95.0086,70.8578,85.7381,113.799,143.011
Gs1,87.0411,131.678,159.066,151.487,351.436,508.166
CG31975,7.25866,10.9,5.01443,1.48391,0.53093,0.976352
CG31974,48.4563,78.1424,44.5808,12.7046,3.11366,4.92402
CG11454,20.5679,17.8355,15.192,20.0308,20.3904,20.6598
CG11455,217.181,240.523,204.702,138.326,90.0139,101.782
CG3436,17.0774,18.329,16.1244,17.6844,20.8183,30.1716
spen,13.5332,7.8714,8.0396,3.3565,14.6776,17.1018
mRpL10,54.6553,69.4173,51.0159,22.7412,17.1091,19.5714
CG11490,5.08737,5.13347,4.76911,6.98741,11.5923,16.2997
kis,17.9155,18.0594,14.2924,11.1755,34.3905,45.0843
Rpp30,10.0947,9.00947,6.41014,6.78601,7.08306,10.4596
CG3645,18.13,14.0688,11.0948,5.73469,7.71591,8.30492
CG3345,0,0,0,4.81287,10.3812,14.1683
mbm,28.6268,12.9838,7.62958,4.93137,5.62362,6.07994
CG11555,23.2068,20.7696,13.5663,8.64166,8.68275,11.3948
CG17078,8.01415,7.13397,5.66613,8.0832,12.5781,16.9365
smo,3.64597,3.09822,3.26704,4.60204,7.63104,10.9149
CG11601,17.1061,16.7424,12.3526,8.51471,8.48636,12.9499
CG3625,56.4621,66.1144,65.7519,79.4886,55.0183,55.8198
CG11562,17.2861,29.4461,24.6425,15.9603,21.1018,23.791
U2af38,29.4004,23.4963,17.4634,19.4871,26.2742,32.3726
Hop,80.1837,73.2677,56.7657,42.3569,69.5574,107.54
Pi3K21B,14.2028,11.3963,12.2853,7.13265,15.7268,20.0634
Plc21C,16.0882,8.40255,7.2183,5.24067,9.71961,13.6541
CG11912,19.4664,40.6328,44.086,730.954,1110.1,1463.54
CG11911,199.223,200.267,70.7246,793.038,233.954,60.373
CG33127,97.581,90.6272,51.1968,64.619,9.44399,2.28521
CG31920,0.401416,0.0857507,0.330228,3.3353,9.1038,12.2574
CG33992,0,0,0,2.49245,7.85687,11.3153
Ent1,13.245,11.8367,13.1676,29.9251,42.2789,54.9214
al,10.0748,7.72317,3.48961,4.07063,7.56695,12.0819
CG4213,4.0759,4.27325,7.15934,8.31647,13.0877,15.8779
RpI135,24.8983,11.4487,6.7541,3.31053,4.09949,5.04055
alpha-Adaptin,21.4962,21.6809,15.9483,18.9427,31.4839,39.9199
ebi,17.5907,15.3552,10.8141,13.1839,19.7097,22.7405
RpLP1,3530.82,3128.91,2445.29,2239.21,2114.35,2190.2
CG11885,25.1299,23.776,13.9482,21.6166,37.9986,53.5407
ex,6.65573,7.3063,4.18832,7.11624,16.0513,20.5194
crq,10.5199,14.2125,15.5412,32.4297,45.9754,69.778
CG4164,31.0754,63.6423,40.3351,25.1802,30.5276,34.5143
MED15,9.27966,8.88664,7.31205,9.31655,14.5317,18.9
cbt,25.3044,23.9684,19.6174,18.8526,31.8768,54.4488
lwr,78.5863,79.5831,59.3494,76.3025,99.196,116.645
Spp,103.242,201.096,139.724,88.8407,80.4668,81.5457
nAcRbeta-21C,11.2607,7.85851,12.2641,13.8575,16.135,11.9461
CG2789,65.637,79.7713,124.855,161.402,121.563,106.77
CG11835,0.438376,4.12594,74.5208,48.9614,42.5135,55.4328
CG2794,19.8905,16.5364,14.7673,8.95342,10.4454,10.0089
Nle,57.0694,25.6381,15.5968,8.01862,8.9013,9.31476
CG2807,18.1054,15.9579,13.879,13.3077,17.9674,19.2482
Ipk2,7.69595,8.71487,7.60547,10.2908,17.7582,40.7198
CG2813,22.1362,17.364,13.7466,18.7704,26.8143,51.2569
CG13689,2.05761,2.07275,1.93451,3.3268,6.12283,11.2895
ds,2.44978,2.61951,1.80886,3.43668,9.1566,12.1204
Hsp60B,0.0133212,0,0.181834,7.31875,23.7422,29.0887
Eaat2,11.7699,4.4808,1.38771,1.83404,3.23945,4.85871
CG12506,23.1502,0.102393,2.13958,1.38441,0.997494,0.625833
CG13947,70.3471,1.99795,16.4479,23.8746,31.2036,19.5288
Pkg21D,10.9664,7.37671,8.9716,5.05317,3.80757,2.31249
KH1,17.7574,14.9787,10.6945,5.29468,5.34351,5.43674
Clp,13.1549,9.62095,7.87453,8.58282,11.2113,11.5507
CG3662,113.168,64.3779,67.995,165.564,213.77,187.585
dock,18.2935,12.3255,8.66469,7.69773,16.5587,23.099
drongo,20.6388,23.755,27.1334,31.0865,66.9004,108.013
kraken,93.3367,81.3613,51.9181,33.2982,27.1779,23.9689
aru,27.8143,20.1924,19.3915,13.8869,15.7535,14.4478
dbe,49.8142,25.6579,14.8351,10.4821,12.4258,15.5553
PNUTS,35.185,26.4901,27.7032,34.2661,41.37,47.9942
Lsp1beta,0.0385196,0.122668,2859.39,20189,9481.13,1534.94
GluRIIC,10.8413,9.59777,10.6925,6.80839,5.042,2.59932
CG4341,13.799,4.31967,1.47604,1.11582,2.65735,3.97949
ia2,122.353,50.341,17.9378,6.28738,18.4728,15.2927
CG4375,0,0,0,6.68186,17.9978,29.6633
S,8.32415,4.97288,3.77487,4.32267,9.56542,10.8307
ast,11.0018,6.27738,4.63443,4.84148,6.43026,7.57088
Atg4,13.6198,16.1295,14.7037,29.0957,45.0321,62.1074
CG4629,11.4364,7.05243,4.38198,3.50538,4.48813,4.67211
CG4644,19.1843,12.7686,9.82538,3.35914,3.9727,3.81186
Pino,45.0913,48.204,53.6046,42.9108,68.9936,160.091
CG4552,17.0497,17.4162,13.9207,17.3001,22.314,23.7757
CG4577,38.0403,16.1234,6.47335,5.40696,8.67479,9.94274
CG4726,195.783,147.586,109.846,111.451,59.2811,35.8627
CG4749,13.5181,12.8295,8.689,3.63921,3.90849,3.5385
CG4764,24.784,28.7733,23.0558,23.8237,30.2775,35.4239
capt,88.2153,97.4125,113.246,110.112,143.327,148.254
Tango14,60.0121,47.8325,37.862,22.2773,21.4288,18.6823
CG5080,17.5834,25.6695,31.5438,23.9592,20.3194,14.0887
CG14341,9.31637,10.5335,9.09451,14.1974,17.7764,19.5408
Plap,17.291,25.5318,25.2711,23.2467,42.2217,47.5687
CG5118,9.17653,6.58728,6.06972,10.7632,11.2752,18.2471
CG4887,16.8616,11.8861,10.4831,11.7302,18.2398,19.2456
CG4896,8.77204,6.05766,5.66165,10.9419,14.2841,15.3506
CG5126,11.0213,16.3334,12.3026,16.32,17.0686,19.3712
Tgt,18.1321,10.9581,7.67499,3.02521,3.47429,3.47093
CG5001,46.1788,47.8697,58.5494,47.0205,32.3451,54.9187
CG5139,0,0.0193179,0.041401,2.21487,6.73722,11.6596
CG5011,88.6795,32.6842,56.8682,92.5419,100.099,46.2366
CG5397,7.8226,5.91074,16.9213,18.0385,22.2867,22.3411
robo3,12.4172,3.16432,0.888067,1.0594,2.98825,4.04983
Cdlc2,0.068087,0,0.781229,13.143,24.9585,26.3497
CG5561,0.0131442,0,0.0224271,3.04842,6.64673,10.4895
CG5565,0.0317614,0,0.189674,3.28211,7.78421,10.0266
NLaz,4.14205,6.04569,11.9663,4.99903,22.5848,146.203
lea,6.24757,3.12574,2.22113,5.384,12.8042,16.9444
CG33128,513.516,398.764,416.921,662.568,634.599,321.823
CG18131,0.315104,0.51438,1.59532,4.57445,10.4772,10.9905
CG14351,12.8241,20.5727,17.1855,9.69272,12.8872,8.71859
CG10869,0,0,0,8.91054,22.4251,28.3958
CG31935,3.72183,3.53699,2.75646,5.69681,10.3489,15.9898
RFeSP,498.731,464.372,438.32,220.252,122.181,79.2417
chinmo,33.1738,14.334,11.1187,4.33919,9.73174,6.50875
cpb,28.3491,45.4036,32.3987,46.8202,63.7982,77.854
CG17660,27.6863,24.5334,23.1879,28.0491,31.5732,34.7492
mRpL48,78.6867,91.0424,60.6158,16.5487,15.7552,18.8389
CG18317,16.3751,11.6676,13.7357,13.7674,19.0127,27.0615
Eno,1108.84,1289.02,1429.08,986.25,518.759,221.694
CG31937,44.9295,63.9223,73.1217,55.6634,32.3892,26.3612
CG17652,11.3552,9.83248,6.22519,4.83877,4.87252,7.19166
CG17646,15.8317,13.4229,16.0221,5.49137,9.31605,15.4557
CG17712,9.3262,9.98776,5.90312,9.05014,13.0976,16.4936
CG31664,14.6471,10.2665,7.5481,1.89197,0.445189,0.120394
c-cup,0,0,0.138042,3.93634,8.81607,12.9916
CG31665,20.5809,6.10384,1.43127,0.868546,1.90991,2.42163
CG31663,17.2633,7.69152,5.77176,4.45239,4.32694,4.16293
CG7337,20.4543,13.7549,16.3628,9.50877,18.3949,22.7611
CG10908,49.1802,69.1772,59.5832,42.2928,58.2654,65.6979
CG15362,5.85491,9.05242,4.24691,5.21238,8.90642,10.9075
CG7289,17.8659,19.4806,16.3429,15.1519,19.3464,23.1472
Got2,379.938,334.007,474.502,243.753,145.294,95.7816
CG33543,10.9303,3.64402,1.12556,0.821516,1.38534,1.48154
CG15353,9.46698,1.6855,687.898,767.493,721.787,537.494
Nplp4,562.801,46.37,687.613,436.963,164.036,60.1185
CG4238,7.41611,2.70608,1.44258,2.59581,5.98082,11.0023
lectin-22C,0.398341,11.0276,17.6713,23.6376,1.03918,0.0440533
Su(dx),20.6736,20.5033,15.2589,12.9024,17.2588,23.5361
CG4259,4.47846,6.78906,12.2994,9.53577,8.56458,5.95186
GlyP,596.314,653.031,591.765,478.04,307.816,89.1779
tho2,12.4031,13.2176,11.5461,11.5905,17.7491,18.7982
CG11723,5.04612,5.5529,4.9787,7.60266,8.54948,10.4064
CG7261,5.29002,6.68247,6.35329,8.4285,12.0183,14.0087
aop,10.6367,7.84383,6.28336,4.95293,13.1273,35.7077
CG10874,11.0222,8.81068,8.85598,15.3092,24.546,36.8705
Uch,12.3445,43.7744,36.3867,89.689,156.645,237.502
CG15386,32.6475,50.5145,36.34,29.9955,28.5949,29.5999
mio,10.2964,7.67856,7.79954,10.3315,12.723,11.0673
CG7082,29.9992,16.7299,24.2974,25.1882,20.7887,19.0442
CG15387,2.45055,3.85159,2.55573,7.07878,11.2819,18.011
l(2)s5379,43.5902,57.9059,44.1845,48.9722,67.4124,88.9266
CG10882,42.248,69.1909,46.553,29.6578,41.0102,38.6212
CG4267,21.2232,10.6057,26.6503,28.5249,32.7189,39.0174
CG17237,0,0,0.139657,5.44143,10.6904,13.6614
CG16995,0.0650353,0.440106,4.93798,17.4173,11.7526,14.7552
Rab5,55.1961,63.9382,50.3367,75.6229,129.966,204.338
CG4272,6.7949,5.59096,4.93237,4.92091,8.67355,10.3928
CG3597,0.458795,0.55258,5.82093,19.5517,6.80644,4.12157
CG3609,557.935,476.22,465.962,79.6108,42.6698,27.5109
CG9866,7.97611,6.2351,5.99071,7.35549,13.3998,14.316
CG9867,9.84229,7.72978,10.4557,16.1144,15.9477,17.3212
VGlut,15.6684,6.19036,1.86537,0.826859,2.31507,2.84086
CG18641,1.36965,14.819,6.28643,1.0851,2.18829,2.93251
CG31948,0.0117952,0.00940465,0.0767935,14.8378,37.8432,57.6006
Slh,24.5964,35.3126,25.1758,18.5097,22.6113,25.8585
oaf,15.9756,7.83012,6.90946,10.1881,16.62,19.3404
Cyp309a1,20.5877,17.5302,23.5925,17.0854,41.905,78.1033
CG3214,215.949,202.674,200.442,139.098,76.7141,65.1122
p16-ARC,51.7718,55.6609,39.913,62.4902,70.7608,77.9306
Drp1,34.5848,38.7379,36.6213,26.7334,35.6884,38.4112
CG31689,19.5481,21.9037,26.6154,8.42896,9.36948,19.1431
Hrs,13.7077,12.5471,13.2656,23.3861,64.3985,111.444
Pgk,393.111,394.623,385.202,275.028,181.376,108.178
CG9894,157.596,166.742,115.382,139.662,211.322,192.384
snapin,20.6393,19.8906,16.5216,14.3302,19.0392,19.6461
CG3077,3.31951,4.62692,4.68795,5.59397,12.4054,20.2905
aph-1,13.6408,15.3551,10.9126,22.3457,30.6664,42.1236
Taf10b,23.8954,23.3081,21.0415,26.9076,35.0735,41.2631
Taf10,28.9372,26.4426,22.2494,31.4762,39.1598,44.0942
